BuildingId,Product,Floor,ConsumedQuantity,SupplyDate
5cec3487a789fd29cc116fdf,null,1st floor,2,2019-05-27 22:03:35
5cec3487a789fd29cc116fdf,null,2nd floor,3,2019-05-27 22:03:35
5cec3487a789fd29cc116fdf,null,2nd floor,4,2019-05-27 22:03:35
5ceeee1f939b3d27b027e552,sugar,2nd,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,sugar,2nd,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,sugar,2nd,2,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,sugar,1st,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,sugar,1st,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,sugar,1st,2,2019-06-20 12:30:00
5ceeee1f939b3d27b027e552,tea,1st,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,tea,1st,4,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,tea,2nd,4,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,tea,2nd,3,2019-07-01 12:30:00
5ceeee1f939b3d27b027e552,coffe,1st,3,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,coffe,1st,4,2019-06-12 12:30:00
5ceeee1f939b3d27b027e552,coffe,2nd,1,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,coffe,2nd,3,2019-06-01 12:30:00
5ceeee1f939b3d27b027e552,milk,1st,4,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,milk,2nd,5,2019-05-28 12:30:00
5ceeee1f939b3d27b027e552,honey,1st,2,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,tea,1st,3,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,tea,1st,3,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,tea,2nd,3,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,coffe,1st,3,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,sugar,1st,4,2019-05-28 12:30:00
5cf02a60939b3d34b00095b6,sugar,1st,3,2019-05-28 12:30:00
